feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,mean_importance,std_importance,variance,cv
rolling_mean_3_original_shape2D_Elongation,0.0,0.021526666,0.02878762,0.07870705,0.050097156,0.07016077,0.049914144,0.056523714,0.06263462,0.06999557,0.048834731,0.0248991315325475,0.0006199667510751,0.5098652336704282
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0,0.0,0.048440967,0.0,0.013694072,0.07472002,0.07807345,0.061655696,0.03076422,0.04239159,0.0349740015,0.0307782409621185,0.0009473001167222,0.8800320135549403
original_shape2D_Elongation,0.0,0.010807185,0.0050071226,0.012450999,0.00527525,0.041223437,0.04617639,0.06466232,0.033149663,0.02680552,0.02455578866,0.0214090765659535,0.0004583485594068,0.8718545701131449
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0,0.02319593,0.014481118,0.013617401,0.016029987,0.026146999,0.024470534,0.021485327,0.022962762,0.048496533,0.0210886591,0.0123203834395889,0.0001517918480984,0.5842184361351348
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.01957101,0.0027566573,0.043852996,0.03866317,0.019829432,0.021643627,0.008867289,0.0057646856,0.0089118965,0.0013202844,0.0171181047799999,0.0146550441808416,0.0002147703199424,0.8561137093846939
slope_3_day_of_study,0.0,0.0,0.013625191,0.0,0.0042015756,0.0072364295,0.0066288267,0.005786825,0.011268087,0.010129197,0.0058876131799999,0.0048992538337542,2.4002688127556155e-05,0.832129028176796
rolling_mean_3_wavelet-HH_gldm_DependenceEntropy,0.0,0.0019807136,0.0064964583,0.0081400005,0.0028053944,0.004379064,0.0018449718,0.0035896474,0.0024669352,0.010594189,0.00422973742,0.0032512998602417,1.0570950781207883e-05,0.7686765246627836
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0,0.008801237,0.0,0.006919685,0.0024765064,0.00409503,0.0029060603,0.0027875737,0.0013125153,0.0022410369,0.00315396446,0.0028231571399207,7.970216236685282e-06,0.8951138085813148
log-sigma-3-0-mm-3D_firstorder_Skewness,0.0,0.0017765651,0.0009212883,0.0013019795,0.001192814,0.0010253394,0.00086833956,0.00074795814,0.0013392466,0.0,0.00091735306,0.0005642992200572,3.1843360975718746e-07,0.6151385378898944
gradient_glszm_SizeZoneNonUniformityNormalized,0.0,0.0015669441,0.0014120949,0.0008145594,0.0010540221,0.0,0.00043149502,0.0003892924,0.0002588156,0.0002586467,0.000618587022,0.0005645958770942,3.187685044317905e-07,0.9127185941741582
