feature,importance
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.09832692
rolling_mean_3_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.080189325
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.07979157
rolling_mean_3_original_shape2D_Elongation,0.050097156
squareroot_firstorder_Entropy,0.047929283
exponential_glcm_Imc1,0.046007756
log-sigma-2-0-mm-3D_gldm_DependenceEntropy_lag_1,0.03845373
wavelet-LH_glszm_SizeZoneNonUniformity,0.035725586
exponential_gldm_DependenceEntropy_lag_1,0.033355825
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.031510144
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.028514117
rolling_mean_3_original_glrlm_RunEntropy,0.02631099
slope_3_original_gldm_DependenceNonUniformityNormalized,0.02427534
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.023415713
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.020094762
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.019829432
slope_3_squareroot_glszm_SizeZoneNonUniformityNormalized,0.01933299
delta_2_original_firstorder_90Percentile,0.018100616
logarithm_ngtdm_Complexity,0.017472766
wavelet-LL_gldm_DependenceNonUniformityNormalized_lag_1,0.017396849
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.016029987
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.013694072
original_glcm_ClusterShade,0.013396969
original_shape2D_Elongation_lag_1,0.013183245
delta_2_wavelet-LH_firstorder_Skewness,0.010236921
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.009679352
original_firstorder_Entropy,0.00898241
delta_2_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.008921808
rolling_mean_3_original_ngtdm_Busyness,0.008458035
slope_3_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0075880983
original_ngtdm_Coarseness,0.0074179387
wavelet-LL_glrlm_RunEntropy,0.0063360143
squareroot_glszm_SizeZoneNonUniformityNormalized_lag_1,0.0063311965
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.006200578
slope_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0060551916
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0060297674
rolling_mean_3_squareroot_glszm_SizeZoneNonUniformityNormalized,0.0059686215
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.005929893
delta_2_exponential_firstorder_Entropy,0.0058933455
original_shape2D_Elongation,0.00527525
original_shape2D_MajorAxisLength,0.0045516607
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.004453701
slope_3_day_of_study,0.0042015756
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.004048503
rolling_mean_3_square_glszm_GrayLevelNonUniformityNormalized,0.0036112813
square_gldm_DependenceNonUniformityNormalized_lag_1,0.0034124884
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0031613663
rolling_mean_3_wavelet-HH_gldm_DependenceEntropy,0.0028053944
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0026633807
slope_3_square_glszm_GrayLevelNonUniformityNormalized,0.002620564
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0024765064
squareroot_glcm_Autocorrelation_lag_1,0.0023055552
square_gldm_DependenceEntropy,0.0019951367
wavelet-LH_firstorder_Kurtosis,0.00195732
logarithm_gldm_DependenceNonUniformityNormalized,0.0018210678
original_glszm_SizeZoneNonUniformity,0.0014537674
original_firstorder_Range,0.0013720314
slope_3_original_ngtdm_Busyness,0.0013563521
slope_3_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0013028295
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0012626615
log-sigma-3-0-mm-3D_firstorder_Skewness,0.001192814
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0011825658
slope_3_square_glszm_HighGrayLevelZoneEmphasis,0.0011343684
wavelet-LH_firstorder_Skewness_lag_1,0.0011212107
square_firstorder_Maximum,0.0011189316
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.0010604456
gradient_glszm_SizeZoneNonUniformityNormalized,0.0010540221
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.0010364255
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_lag_1,0.0010223298
rolling_mean_3_square_glszm_HighGrayLevelZoneEmphasis,0.0009764288
wavelet-HH_firstorder_Skewness,0.00093028066
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.00077481626
gradient_glszm_ZoneVariance,0.0007176327
log-sigma-3-0-mm-3D_firstorder_Range,0.00068361615
