feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,mean_importance,std_importance,variance,cv
squareroot_firstorder_90Percentile,0.0,0.061008908,0.03365928,0.040433712,0.038515683,0.0681845,0.047103852,0.0022462138,0.0036465803,0.02086015,0.03156588791,0.0243372414416203,0.0005923013209877,0.7709981582336669
square_ngtdm_Coarseness,0.017776776,0.03829623,0.041706514,0.061741278,0.027718378,0.036759175,0.041579835,0.010352062,0.014029092,0.013193613,0.0303152953,0.0165675136043045,0.0002744825070288,0.5465067531209088
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.02745893,0.0,0.016301502,0.03952703,0.01516987,0.0,0.023606716,0.003458443,0.010079213,0.0,0.0135601703999999,0.013516611388529,0.0001826987834285,0.9967877238864964
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.0,0.0043095923,0.0,0.00091394776,0.032401137,0.017843138,0.0066251066,0.017516445,0.013753292,0.024542268,0.011790492666,0.0112529295352638,0.0001266284231256,0.9544070679687274
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0.0,0.0,0.0,0.015607571,0.0063682557,0.01699496,0.0075885663,0.032163188,0.025396766,0.0131589845,0.01172782915,0.0110944002392055,0.0001230857166676,0.9459892446681468
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0,0.0,0.025921345,0.023677204,0.008139459,0.008458298,0.009819646,0.006578585,0.014618518,0.009739466,0.0106952521,0.0086583102890909,7.496633706217808e-05,0.8095470969862358
original_shape2D_Elongation,0.0,0.0053737783,0.009118554,0.007075432,0.010087327,0.006259321,0.010359762,0.013754793,0.01410704,0.014250488,0.00903864953,0.0045295652887888,2.0516961705400623e-05,0.5011329705565903
gradient_firstorder_90Percentile,0.0,0.0,0.004294665,0.0045089414,0.0010593013,0.0031642588,0.0053837337,0.011263856,0.010771429,0.006934996,0.00473811812,0.0040192400135819,1.6154290286778158e-05,0.8482777152845529
exponential_glcm_Correlation,0.0,0.006269629,0.001954307,0.004784727,0.0051339013,0.0003357222,0.009964838,0.0035032681,0.006217134,0.0040462855,0.00422098121,0.0029985194417428,8.991118842510081e-06,0.7103844562584272
logarithm_glcm_DifferenceEntropy,0.0,0.0051672794,0.004590213,0.0017838184,0.003573299,0.00037169084,0.0006897779,0.00090029434,0.0006236419,0.004110004,0.002181001878,0.0019680546887775,3.873239258019289e-06,0.9023626749841558
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0,0.0,0.0,0.0032695136,0.003378332,0.002034913,0.0045961305,0.0011091668,0.0015343537,0.0007173658,0.00166397754,0.0016254580959464,2.6421140216776967e-06,0.976850983184785
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0014879383,0.0015057632,0.0019570966,0.003179182,0.0,0.00019814445,0.001691676,0.0029652885,0.001298508905,0.0012134166421293,1.4723799473964166e-06,0.934469249657806
