feature,importance
rolling_mean_3_original_shape2D_Elongation,0.04883473
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.0432034
rolling_mean_3_original_glrlm_RunEntropy,0.04046604
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.034974
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.03100555
rolling_mean_3_logarithm_glszm_HighGrayLevelZoneEmphasis,0.026712716
squareroot_firstorder_Entropy,0.026539225
original_shape2D_Elongation,0.02455579
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.023874864
rolling_mean_3_original_ngtdm_Busyness,0.02117331
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.02108866
slope_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.017919753
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.017363885
rolling_mean_3_logarithm_glszm_GrayLevelVariance,0.017118106
rolling_mean_3_log-sigma-1-0-mm-3D_ngtdm_Busyness,0.016964113
